spinnen	spinnan
streunen	striunen
pflaster	pflastar
erkennen	arkennen
notdurft	nōtdurft
stampfen	stampfōn
gestern	gesterēn
belangen	belangēn
bekennen	bikennen
springen	springan
bertram	berhtram
ersticken	arsticken
stegreif	stegareif
steinmetz	steinmez
sperling	speriling
gemeinsam	gimeinsam
bestellen	bistellen
entdecken	intdecken
beinwell	beinwella
grammatik	grammatih
regenwurm	reganwurm
erquicken	irquicken
wirtschaft	wirtscaft
bestricken	bistricken
