word:Binse@lang:deu@std	word:*benutaz@lang:*PGM@std
word:Binse@lang:deu@std	word:binuz@lang:GOH@std
word:Birke@lang:deu@std	word:birka@lang:GOH@std
word:Birkhuhn@lang:deu@std	word:birchuon@lang:GOH@std
word:Birne@lang:deu@std	word:bira@lang:GOH@std
word:Bisam@lang:deu@std	word:bisamo@lang:GOH@std
word:Bischof@lang:deu@std	word:biscof@lang:GOH@std
word:Bise@lang:deu@std	word:bīsa@lang:GOH@std
word:Bistum@lang:deu@std	word:biscoftuom@lang:GOH@std
word:Bitze@lang:deu@std	word:bízūni@lang:GOH@std
word:Blatt@lang:deu@std	word:*bladan@lang:*PGM@std
word:Blatt@lang:deu@std	word:blat@lang:GOH@std
word:Blatter@lang:deu@std	word:blātra@lang:GOH@std
word:Blech@lang:deu@std	word:*blikan@lang:*PGM@std
word:Blech@lang:deu@std	word:bleh@lang:GOH@std
word:Blei@lang:deu@std	word:blīo@lang:GOH@std
word:Blindschleiche@lang:deu@std	word:blintslīh@lang:GOH@std
word:Block@lang:deu@std	word:bloh@lang:GOH@std
word:Blume@lang:deu@std	word:bluoma@lang:GOH@std
word:Blut@lang:deu@std	word:*blōdan@lang:*PGM@std
word:Blut@lang:deu@std	word:bluot@lang:GOH@std
word:Blüte@lang:deu@std	word:*blōdan@lang:*PGM@std
word:Blüte@lang:deu@std	word:bluot@lang:GOH@std
word:Bock@lang:deu@std	word:*bukkaz@lang:*PGM@std
word:Bock@lang:deu@std	word:boc@lang:GOH@std
word:Boden@lang:deu@std	word:*budmaz@lang:*PGM@std
word:Boden@lang:deu@std	word:bodam@lang:GOH@std
word:Bogen@lang:deu@std	word:*bugōn@lang:*PGM@std
word:Bogen@lang:deu@std	word:bogo@lang:GOH@std
word:Bohne@lang:deu@std	word:*baunō@lang:*PGM@std
word:Bohne@lang:deu@std	word:bōna@lang:GOH@std
word:Bolzen@lang:deu@std	word:*bultaz@lang:*PGM@std
word:Bolzen@lang:deu@std	word:bolz@lang:GOH@std
word:Bord@lang:deu@std/3	word:*burdan@lang:*PGM@std
word:Bord@lang:deu@std/3	word:bort@lang:GOH@std
word:Borste@lang:deu@std	word:borst@lang:GOH@std
word:Borte@lang:deu@std	word:*burdōn@lang:*PGM@std
word:Borte@lang:deu@std	word:borto@lang:GOH@std
word:Bote@lang:deu@std	word:*budōn@lang:*PGM@std
word:Bote@lang:deu@std	word:boto@lang:GOH@std
word:Bottich@lang:deu@std	word:botega@lang:GOH@std
word:Boße@lang:deu@std	word:bōzo@lang:GOH@std
word:Brache@lang:deu@std	word:brāhha@lang:GOH@std
word:Brachsen@lang:deu@std	word:brahsa@lang:GOH@std
word:Bracke@lang:deu@std	word:bracko@lang:GOH@std
word:Brand@lang:deu@std	word:*brandaz@lang:*PGM@std
word:Brand@lang:deu@std	word:brant@lang:GOH@std
word:Braten@lang:deu@std	word:brāto@lang:GOH@std
word:Braue@lang:deu@std	word:brāwa@lang:GOH@std
word:Braut@lang:deu@std	word:*brūdiz@lang:*PGM@std
word:Braut@lang:deu@std	word:brūt@lang:GOH@std
word:Brautlauf@lang:deu@std	word:brūtlouft@lang:GOH@std
word:Brei@lang:deu@std	word:brī@lang:GOH@std
word:Breme@lang:deu@std	word:brema@lang:GOH@std
word:Brett@lang:deu@std	word:bret@lang:GOH@std
word:Brezel@lang:deu@std	word:brezzitella@lang:GOH@std
word:Brief@lang:deu@std	word:briaf@lang:GOH@std
word:Brocken@lang:deu@std	word:*brukōn@lang:*PGM@std
word:Brocken@lang:deu@std	word:brocko@lang:GOH@std
word:Brodem@lang:deu@std	word:brādam@lang:GOH@std
word:Brombeere@lang:deu@std	word:brāmberi@lang:GOH@std
word:Brosame@lang:deu@std	word:brōsma@lang:GOH@std
word:Brot@lang:deu@std	word:*braudan@lang:*PGM@std
word:Brot@lang:deu@std	word:brōt@lang:GOH@std
word:Bruch@lang:deu@std	word:bruh@lang:GOH@std
word:Bruch@lang:deu@std/2	word:*brekanan@lang:*PGM@std
word:Bruch@lang:deu@std/2	word:bruoh@lang:GOH@std
word:Bruch@lang:deu@std/3	word:*brekanan@lang:*PGM@std
word:Bruch@lang:deu@std/3	word:bruoh@lang:GOH@std
word:Bruder@lang:deu@std	word:bruoder@lang:GOH@std
word:Brunnen@lang:deu@std	word:*brunnōn@lang:*PGM@std
word:Brunnen@lang:deu@std	word:brunno@lang:GOH@std
word:Brunst@lang:deu@std	word:*brunstiz@lang:*PGM@std
word:Brunst@lang:deu@std	word:brunst@lang:GOH@std
word:Brust@lang:deu@std	word:*brustz@lang:*PGM@std
word:Brust@lang:deu@std	word:brust@lang:GOH@std
word:Brät@lang:deu@std	word:brāto@lang:GOH@std
word:Bräutigam@lang:deu@std	word:*brūdi-gurnōn@lang:*PGM@std
word:Bräutigam@lang:deu@std	word:brūtigomo@lang:GOH@std
word:Brücke@lang:deu@std	word:*brugjō@lang:*PGM@std
word:Brücke@lang:deu@std	word:brugga@lang:GOH@std
word:Brünne@lang:deu@std	word:brunnī@lang:GOH@std
word:Buch@lang:deu@std	word:*bōkz@lang:*PGM@std
word:Buch@lang:deu@std	word:buoh@lang:GOH@std
word:Buche@lang:deu@std	word:*bōkō@lang:*PGM@std
word:Buche@lang:deu@std	word:buohha@lang:GOH@std
word:Buchs@lang:deu@std	word:buhsboum@lang:GOH@std
word:Buchstabe@lang:deu@std	word:*bōka-stabaz@lang:*PGM@std
word:Buchstabe@lang:deu@std	word:buohstab@lang:GOH@std
word:Bug@lang:deu@std	word:*bōguz@lang:*PGM@std
word:Bug@lang:deu@std	word:buog@lang:GOH@std
word:Bulge@lang:deu@std/2	word:bulga@lang:GOH@std
word:Burg@lang:deu@std	word:*burgz@lang:*PGM@std
word:Burg@lang:deu@std	word:burg@lang:GOH@std
word:Busch@lang:deu@std	word:*buskaz@lang:*PGM@std
word:Busch@lang:deu@std	word:busc@lang:GOH@std
word:Busen@lang:deu@std	word:*bōsmaz@lang:*PGM@std
word:Busen@lang:deu@std	word:buosum@lang:GOH@std
word:Buße@lang:deu@std	word:buoz@lang:GOH@std
word:Bär@lang:deu@std	word:pero@lang:GOH@std
word:Büchse@lang:deu@std	word:buhsa@lang:GOH@std
word:Bühl@lang:deu@std	word:buhil@lang:GOH@std
word:Bürde@lang:deu@std	word:burdin@lang:GOH@std
word:Bürge@lang:deu@std	word:burgo@lang:GOH@std
word:Bürger@lang:deu@std	word:burgāri@lang:GOH@std
word:Bütte@lang:deu@std/2	word:butin@lang:GOH@std
word:Büttel@lang:deu@std	word:butil@lang:GOH@std
word:Cholera@lang:deu@std	word:koloro@lang:GOH@std
word:Chor@lang:deu@std	word:chōr@lang:GOH@std
word:Chrisam@lang:deu@std	word:chrismo@lang:GOH@std
word:Christ@lang:deu@std	word:Kris[t]@lang:GOH@std
word:Dach@lang:deu@std	word:*θakan@lang:*PGM@std
word:Dach@lang:deu@std	word:dah@lang:GOH@std
word:Dachs@lang:deu@std	word:*θaxsuz@lang:*PGM@std
word:Dachs@lang:deu@std	word:dahs@lang:GOH@std
word:Dampf@lang:deu@std	word:*dampaz@lang:*PGM@std
word:Dampf@lang:deu@std	word:dampf@lang:GOH@std
word:Dampf@lang:deu@std/2	word:dampho@lang:GOH@std
word:Dank@lang:deu@std	word:*θankaz@lang:*PGM@std
word:Dank@lang:deu@std	word:danc@lang:GOH@std
word:Darm@lang:deu@std	word:*θarmaz@lang:*PGM@std
word:Darm@lang:deu@std	word:darm@lang:GOH@std
word:Darre@lang:deu@std	word:*θarzō@lang:*PGM@std
word:Darre@lang:deu@std	word:darra@lang:GOH@std
word:Daumen@lang:deu@std	word:dūm@lang:GOH@std
word:Dechse@lang:deu@std	word:dehsa@lang:GOH@std
word:Degen@lang:deu@std	word:*θegnaz@lang:*PGM@std
word:Degen@lang:deu@std	word:degan@lang:GOH@std
word:Deichsel@lang:deu@std	word:*θenxslō@lang:*PGM@std
word:Deichsel@lang:deu@std	word:dīhsala@lang:GOH@std
word:Demut@lang:deu@std	word:diomuotī@lang:GOH@std
word:Diadem@lang:deu@std	word:dīadēma@lang:GOH@std
word:Diakon@lang:deu@std	word:diacan@lang:GOH@std
word:Dieb@lang:deu@std	word:*θeubaz@lang:*PGM@std
word:Dieb@lang:deu@std	word:diob@lang:GOH@std
word:Diele@lang:deu@std	word:*θelan@lang:*PGM@std
word:Diele@lang:deu@std	word:dil@lang:GOH@std
word:Diener@lang:deu@std	word:thionāri@lang:GOH@std
word:Dienst@lang:deu@std	word:*θegwanōstōn@lang:*PGM@std
word:Dienst@lang:deu@std	word:dionōst@lang:GOH@std
word:Dill@lang:deu@std	word:*deljaz@lang:*PGM@std
word:Dill@lang:deu@std	word:tilli@lang:GOH@std
word:Ding@lang:deu@std	word:*θengaz@lang:*PGM@std
word:Ding@lang:deu@std	word:ding@lang:GOH@std
word:Dinkel@lang:deu@std	word:dinkil@lang:GOH@std
word:Dirne@lang:deu@std	word:*θegwernō@lang:*PGM@std
word:Dirne@lang:deu@std	word:diorna@lang:GOH@std
word:Distel@lang:deu@std	word:*θestilaz@lang:*PGM@std
word:Distel@lang:deu@std	word:distil@lang:GOH@std
word:Docht@lang:deu@std	word:*θēxtaz@lang:*PGM@std
word:Docht@lang:deu@std	word:tāht@lang:GOH@std
word:Docke@lang:deu@std	word:*dukkōn@lang:*PGM@std
word:Docke@lang:deu@std	word:tocka@lang:GOH@std
word:Dohne@lang:deu@std	word:dona@lang:GOH@std
word:Dolde@lang:deu@std	word:toldo@lang:GOH@std
word:Dom@lang:deu@std	word:*dōmaz@lang:*PGM@std
word:Dom@lang:deu@std	word:tuom@lang:GOH@std
word:Donner@lang:deu@std	word:*θunraz@lang:*PGM@std
word:Donner@lang:deu@std	word:donar@lang:GOH@std
word:Dorf@lang:deu@std	word:*θurpan@lang:*PGM@std
word:Dorf@lang:deu@std	word:dorf@lang:GOH@std
word:Dorn@lang:deu@std	word:*θurnuz@lang:*PGM@std
word:Dorn@lang:deu@std	word:dorn@lang:GOH@std
word:Dost@lang:deu@std	word:dost@lang:GOH@std
word:Dotter@lang:deu@std	word:*dudrōn@lang:*PGM@std
word:Dotter@lang:deu@std	word:totoro@lang:GOH@std
word:Drache@lang:deu@std	word:trahho@lang:GOH@std
word:Draht@lang:deu@std	word:*θrēduz@lang:*PGM@std
word:Draht@lang:deu@std	word:drāt@lang:GOH@std
word:Drischel@lang:deu@std	word:thriskil@lang:GOH@std
word:Drusen@lang:deu@std	word:truosana@lang:GOH@std
word:Drüse@lang:deu@std	word:druos@lang:GOH@std
word:Duft@lang:deu@std	word:duft@lang:GOH@std
word:Dult@lang:deu@std	word:*dulθiz@lang:*PGM@std
word:Dult@lang:deu@std	word:tuld@lang:GOH@std
word:Dunst@lang:deu@std	word:tunst@lang:GOH@std
word:Durst@lang:deu@std	word:*θurstuz@lang:*PGM@std
word:Durst@lang:deu@std	word:durst@lang:GOH@std
word:Dutte@lang:deu@std	word:tutta@lang:GOH@std
word:Dämmer@lang:deu@std	word:*θemzaz@lang:*PGM@std
word:Dämmer@lang:deu@std	word:demar@lang:GOH@std
word:Dübel@lang:deu@std	word:tubil@lang:GOH@std
word:Eber@lang:deu@std	word:*eburaz@lang:*PGM@std
word:Eber@lang:deu@std	word:ebur@lang:GOH@std
word:Ecke@lang:deu@std	word:egga@lang:GOH@std
word:Ecker@lang:deu@std	word:ekarn@lang:GOH@std
word:Efeu@lang:deu@std	word:ebah@lang:GOH@std
word:Egart@lang:deu@std	word:egerda@lang:GOH@std
word:Egel@lang:deu@std	word:*egalaz@lang:*PGM@std
word:Egel@lang:deu@std	word:egala@lang:GOH@std
word:Egge@lang:deu@std	word:egida@lang:GOH@std
word:Ehe@lang:deu@std	word:ēwa@lang:GOH@std
word:Ehre@lang:deu@std	word:ēra@lang:GOH@std
word:Ei@lang:deu@std	word:ei@lang:GOH@std
