iːtal	aitəl
suːbar	zaubər
mezzan	mɛsən
iuweːr	ɔyər
lunga	lʊŋə
dia	vail
muliː	myːlə
smecken	ʃmɛkən
langmuotiːg	laŋmyːtɪx
want	vant
sillaba	zɪlbə
leidoːr	laidər
guot	ɡuːt
stelza	ʃtɛlt͡sə
merha	mɛːrə
kuːski	kɔyʃ
anafaːhan	anfaŋən
buosum	buːzən
skimpfen	ʃɪmpfən
hirso	hɪrzə
arsticken	ɛrʃtɪkən
burg	bʊrk
erbo	ɛrbə
scriːan	ʃraiən
stuot	ʃtuːtə
spannan	ʃpanən
heiliːg	hailɪx
wunt	vʊnt
buhsa	bʏksə
piligriːm	pɪlɡər
birka	bɪrkə
chlanch	klaŋ
blaːsan	blaːzən
raːt	raːt
giskehan	ɡəʃeːən
liob	liːp
ganz	ɡant͡s
ebur	eːbər
sac	zak
weiso	vaizə
dahs	daks
bisturzen	bəʃtʏrt͡sən
scado	ʃaːdən
harz	haːrt͡s
seltan	zɛltən
doːsoːn	toːzən
irgruːwisoːn	ɡrauzən
analih	ɛːnlɪx
kuhhina	kʏxə
spaːti	ʃpɛːt
zwitarn	t͡svɪtər
stillen	ʃtɪlən
wermuota	veːrmuːt
ah	ax
gisezzida	ɡəzɛt͡s
kloːz	kloːs
scaba	ʃaːbə
rammiloːn	raməln
reisa	raizə
bikeːren	bəkeːrən
storah	ʃtɔrx
laz	las
tugan	tauɡən
alba	alp
swenken	ʃvɛŋkən
rouh	raux
fiːra	faiər
ziohan	t͡siːən
hintana	hɪntən
rinnan	rɪnən
noch	toːn
backo	bakə
kienforaha	kiːfər
tegel	tiːɡəl
irwerban	ɛrvɛrbən
reini	rain
felga	fɛlɡə
kiuwan	kauən
piːn	pain
fuogiː	fuːɡə
troum	traum
latto	latə
linsa	lɪnzə
swalawa	ʃvalbə
tranc	traŋk
zuːn	t͡saun
zugil	t͡syːɡəl
stiega	ʃtiːɡə
neben	neːbən
irlouben	ɛrlaubən
ampulla	ampəl
spat	ʃpaːt
sus	zɔnst
walfisc	valfɪʃ
riːho	raiən
nezzen	nɛt͡sən
kraːen	krɛːən
herd	heːrt
hutta	hʏtə
sturo	ʃtøːr
busc	bʊʃ
staːte	ʃteːt
diːhsala	daiksəl
trenken	trɛŋkən
kreiz	krais
holz	hɔlt͡s
kanzella	kant͡səl
bithurfan	bədʏrfən
meizil	maisəl
boroːn	boːrən
luːten	lɔytən
giwis	ɡəvɪs
wurgen	vʏrɡən
ruodar	ruːdər
furh	fʊrxə
ei	ai
hose	hoːzə
feig	faik
milti	mɪlt
findan	fɪndən
pressoːn	prɛsən
swaːgur	ʃvaːɡər
bloːdi	bløːdə
wuosti	vyːst
wesantlih	veːzəntlɪx
muoen	myːən
sarc	zark
buohstab	buːxʃtaːbə
sehs	zɛks
houwan	hauən
wunnimaːnoːd	vɔnəmoːnaːt
kresso	krɛsə
sniːdan	ʃnaidən
kern	kɛrn
dingoːn	dɪŋən
kluft	klʊft
rogan	roːɡən
taːt	taːt
herizogo	hɛrt͡soːk
stehhan	ʃtɛxən
eigan	aiɡən
honag	hoːnɪx
weggi	vɛk
ruora	ruːr
wuohhar	vuːxər
stanga	ʃtaŋə
kunnan	kœnən
zimiːn	t͡sɪmt
habaro	haːfər
thionaːri	diːnər
kizziː	kɪt͡s
lebeːntiːg	leːbɛndɪx
biːga	beːʃ
gerad	ɡəraːdə
muoltra	mʊldə
karag	kark
ackar	akər
roc	rɔk
laboːn	laːbən
polstar	pɔʪtər
giwar	ɡəvaːr
zunten	t͡sʏndən
suohhen	zuːxən
nartha	nardə
gesmiːdi	ɡəʃmaidə
slahan	ʃlaːɡən
meistar	maistər
bluot	blyːtə
scolan	zɔlən
giwennen	ɡəvøːnən
habba	hɪpə
wegan	vɛːɡən
ziːl	t͡sailə
titul	tiːtəl
distil	dɪstəl
unza	ʊnt͡sə
hantscuoh	hanʧuː
kruːzi	krɔyt͡s
heim	haim
briː	brai
swizzen	ʃvɪt͡sən
bruh	brʊx
fallan	falən
bifaːhan	bəfaŋən
stamaloːn	ʃtaməln
hulis	hʏlzə
buhsboum	bʏks
antwurti	antvɔrt
wizzan	vɪsən
suntar	zɔndər
missalingen	mɪslɪŋən
spraːhha	ʃpraːxə
drewen	droːən
pfuzza	pfʏt͡sə
renken.	rɛŋkən
brant	brant
giːsal	ɡaizəl
biost	biːst
huor	huːrə
hamar	hamər
wiga	viːɡə
tagaliːh	tɛːklɪx
hoːren	høːrən
wiːsen	vaizən
wagan	vaːɡən
pfost	pfɔstən
lam	laːm
tunna	tɔnə
unslit	ʊnʃlɪt
briaf	briːf
koloro	koːleːraː
faran	faːrən
leːn	leːən
krucka	krʏkə
louh	laux
rehhanoːn	rɛxnən
wort	vɔrt
blaha	plaːnə
unta	ʊnt
krah	krax
jaːmar	jamər
scutilon	ʃʏtəln
feːhida	feːdə
suozi	zyːs
gibil	ɡiːbəl
hant	hant
meinen	mainən
sant	zant
angar	aŋər
massa	masə
garto	ɡaːrtən
arawiz	ɛrpsə
scerio	ʃɛrɡə
nihhus	nɪks
ruggilinguːn	rʏklɪŋs
waːfan	vafə
mugga	mʏkə
widar	vɪdər
scollo	ʃɔlə
abgot	apɡɔt
irgezzen	ɛrɡœt͡sən
spinnil	ʃpɪndəl
skelmo	ʃɛlm
singan	zɪŋən
giwant	ɡəvant
siːd	zait
waːen	veːən
aːdra	aːdər
zunga	t͡sʊŋə
zittaroːn	t͡sɪtərn
giniozan	ɡəniːsən
first	fɪrst
stahel	ʃtaːl
gaːn	ɡeːən
sterban	ʃtɛrbən
zirzuːsoːn	t͡sauzən
intsageːn	ɛntzaːɡən
liːna	lainə
ano	aːn
zata	t͡sɔtə
stollo	ʃtɔlən
kollaːri	kɔlər
wisula	viːzəl
marg	mark
stelan	ʃteːlən
swelli	ʃvɛlə
langoːn	laŋən
giwizzaniː	ɡəvɪsən
firraː-^^	fɛrnʊnft
arsuohhan	ɛrzuːxən
stilli	ʃtɪl
wickiliː	vɪkəl
spehoːn	ʃpɛːən
krumb	krʊm
scorf	ʃɔrf
ockar	ɔkər
garo	ɡaːr
paradiːs	paradiːs
ahorn	aːhɔrn
manno	mɛnɪklɪx
giozan	ɡiːsən
brust	brʊst
iːngaːn	ainɡeːən
niun	nɔyn
kustor	kʏstər
haːcko	haːkən
huːt	haut
starc	ʃtark
kastanie	kastaːniːə
firslahan	fɛrʃlaːɡən
marca	mark
swintan	ʃvɪndən
winkan	vɪŋkən
strih	ʃtrɪx
boum	baum
warf	vɛrft
bruoten	bryːtən
maːloːn	maːlən
laigo	laiə
antlizzi	antlɪt͡s
galla	ɡalə
sund	zyːdən
grop	ɡroːp
intfaːhan	ɛmpfaŋən
jesan	ɡɛːrən
trog	troːk
turi	tyːr
giwalt	ɡəvalt
sneggo	ʃnɛkə
gelt	ɡɛlt
huːs	haus
klingiloːn	klɪŋəln
stoc	ʃtɔk
eihhurn	aixhœrnxən
psalm[o]	psalm
fluz	flʊs
kleiben	klaibən
grioz	ɡriːs
biquaːmi	bəkveːm
filu	fiːl
giriː	ɡiːr
seiffa	zaifə
lappo	lapən
boc	bɔk
wiːhen	vaiən
horn	hɔrn
zwizziroːn	t͡svɪʧərn
spehhan	ʃprɛxən
kloːstar	kloːstər
fadum	faːdən
erda	eːrdə
suː	zau
sper	ʃpeːr
kluːboːn	klaubən
gidigan	ɡədiːɡən
mara	maːr
halla	halə
bifora	bəfoːr
arabeit	arbait
stiːa	ʃtaiɡə
buliz	pɪlt͡s
dunken	dʏŋkən
sniːwan	ʃnaiən
blat	blat
intsliozan	ɛnʧliːsən
bittar	bɪtər
wolf	vɔlf
uːzslahan	ausʃlaːɡən
stegareif	ʃteːkraif
alamuosan	almoːzən
legar	laːɡər
totoro	dɔtər
hehara	hɛːər
farwa	farbə
zieriː	t͡siːr
umbi	ʊm
struːben	ʃtrɔybən
hincan	hɪŋkən
selb	zɛlbər
kuofa	kuːfə
kolo	koːlə
giskirri	ɡəʃɪr
raːtan	raːtən
leːhanon	leːnən
ungizogan	ʊnɡət͡soːɡən
sat	zat
baːen	bɛːən
heilen	hailən
steigal	ʃtail
kuo	kuː
slahta	ʃlaxt
kranuh	kraːnɪx
bleckazzen	blɪt͡sən
manag	manx
biːna	biːnə
skella	ʃɛlə
rihtiːg	rɪxtɪx
luːs	laus
ein	ain
leːrih	lɛrxə
sweizen	ʃvaisən
hefti	hɛft
leid	lait
tol	tɔl
fah	fax
lindi	lɪnt
atto	ɛtiː
swintiloːn	ʃvɪndəln
haːhsna	haksə
hospitaːlhuːs	hɔspiːtaːl
swiːgeːn	ʃvaiɡən
ruoholoːso	ruːxloːs
furdren	fœrdərn
seita	zaitə
zurnen	t͡sʏrnən
munt	mʊnt
noːtegoːn	nøːtɪɡən
knupfen	knʏpfən
